"Record ID","Name","Project Address","Developer","Market","Product Type","Contract Writing Date","Units Sold","Total Units","Units Released","Avg Unit Size Estimate","PPSF Estimate","Completion Date","Construction Material","Project pipeline stage","Project pipeline","Advisory Lead","Scope"
"53650727049","Rocklin","1295 Rocklin Street","Streetside Developments","Coquitlam","Townhome","2026-06-20","1.0","133.0","22.0","1645.0","700.0","2026-09-01","Wood Frame","Actively Selling","Nova | For Sale (Comp Projects)","",""
"53150255404","Towns at Burke","3655, 3659, & 3665 Crouch Ave","Wesbild","Coquitlam","Townhome","2026-06-01","0.0","35.0","35.0","1540.0","680.0","2026-09-01","Wood Frame","Actively Selling","Nova | For Sale (Comp Projects)","",""
"22395110682","Sundays on Grant","909 - 927 Grant St","Anthem","Coquitlam","Stacked Townhome","2025-12-01","13.0","63.0","42.0","1100.0","850.0","2026-01-01","Wood Frame","Actively Selling","Nova | For Sale (Comp Projects)","",""
"13426803230","Culmena","1292 Rosenburg Way","Tangerine Development","Coquitlam","Townhome","2025-02-13","27.0","107.0","38.0","1455.0","780.0","2026-01-01","Wood Frame","Actively Selling","Nova | For Sale (Comp Projects)","",""
"14751019189","Ravir","1051 James Ave","Paulsun Development","Coquitlam","Lowrise (6 or <)","2024-09-14","40.0","74.0","74.0","685.0","960.0","2026-12-01","Wood Frame","Appointment Only","Nova | For Sale (Comp Projects)","",""
"12406097587","Level","600 Shaw Ave","Jayen Properties","Coquitlam","Lowrise (6 or <)","2024-07-13","178.0","178.0","178.0","610.0","1000.0","2026-12-01","Wood Frame","Sold Out/Archived","Nova | For Sale (Comp Projects)","",""
"3951086882","Samer","724-728 Lea Ave","Domus Homes","Coquitlam","Stacked Townhome","2024-01-30","8.0","23.0","23.0","1270.0","920.0","2026-02-01","Wood Frame","Actively Selling","Nova | For Sale (Comp Projects)","",""
"7619318144","The Grove","641 Aspen St","Foster Living","Coquitlam","Stacked Townhome","2023-11-25","39.0","49.0","49.0","1460.0","870.0","2026-06-01","Wood Frame","Actively Selling","Nova | For Sale (Comp Projects)","",""
"8925508680","Botanica","580 Harrison Ave","Qualex-Landmark","Coquitlam","Lowrise (6 or <)","2023-11-11","189.0","239.0","239.0","760.0","1050.0","2026-11-01","Wood Frame","Appointment Only","Nova | For Sale (Comp Projects)","",""
"13174921997","Gardena (Magnolia)","635 Gardena Dr","Intracorp","Coquitlam","Highrise (15+)","2023-10-01","110.0","150.0","150.0","640.0","1120.0","2026-12-01","Concrete","Appointment Only","Nova | For Sale (Comp Projects)","",""
"3950773892","Terrayne","3550 McVicar Ct","Townline Homes","Coquitlam","Stacked Townhome","2023-10-01","67.0","159.0","159.0","1215.0","840.0","2026-05-01","Wood Frame","Appointment Only","Nova | For Sale (Comp Projects)","",""
"3950820885","Burqville","704, 706, 710 Grover Ave & 701, 705, 709 Regan Ave","Kadium Properties","Coquitlam","Stacked Townhome","2023-05-13","45.0","50.0","50.0","1095.0","930.0","2026-08-01","Wood Frame","Actively Selling","Nova | For Sale (Comp Projects)","",""
"3951086879","Aavand","620 Harrison Ave","Canada West Group","Coquitlam","Lowrise (6 or <)","2023-05-06","59.0","79.0","79.0","715.0","960.0","2026-02-01","Wood Frame","Appointment Only","Nova | For Sale (Comp Projects)","",""
"3950991971","SOCO Two","319 North Rd & 318 Alderson Ave","Anthem Properties","Coquitlam","Highrise (15+)","2022-10-15","203.0","228.0","225.0","630.0","1090.0","2026-03-01","Concrete","Appointment Only","Nova | For Sale (Comp Projects)","",""
"3951114071","Elmwood","585 Como Lake Ave","Marcon","Coquitlam","Highrise (15+)","2022-06-30","301.0","335.0","335.0","655.0","1125.0","2026-11-01","Concrete","Appointment Only","Nova | For Sale (Comp Projects)","",""
"3951114062","Myriad","567 Emerson St","Concert Properties","Coquitlam","Highrise (15+)","2021-10-12","468.0","468.0","468.0","700.0","1015.0","2026-04-01","Concrete","Sold Out/Archived","Nova | For Sale (Comp Projects)","",""
