"Record ID","Name","Contract Writing Date","Market","Developer","Micro Market","Storeys","Total Units","Product Type","Construction Material","Project pipeline stage"
"12035974017","Emerald Place","2026-09-01","Burnaby North","Polygon","Brentwood","42.0","1253.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3951017563","Coronation Heights","2026-09-01","Coquitlam","Polygon","Coquitlam Centre","50.0","2050.0","Highrise (15+)","Concrete","Approved/Upcoming"
"34614265707","The New Village Ph.1 (Parcel F)","2026-10-01","Vancouver West","MST & Aquilini Group","Cambie Corridor","25.0","608.0","Highrise (15+)","Concrete","Approved/Upcoming"
"28480148663","5392-5472 Manson St","2026-10-01","Vancouver West","Peterson","Oakridge","18.0","276.0","Highrise (15+)","Concrete","Approved/Upcoming"
"12282794315","6470-6508 Silver Ave","2026-10-01","Burnaby South","Openform & Alabaster","Metrotown","35.0","358.0","Highrise (15+)","Concrete","Approved/Upcoming"
"6337024294","Olo","2026-10-01","Coquitlam","Rize Alliance","West Coquitlam","38.0","364.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3951109291","Telford","2026-10-01","Burnaby South","Westland","Metrotown","50.0","408.0","Highrise (15+)","Concrete","In Planning"
"3950773880","Emerald Gardens","2026-10-01","Surrey","Allure Ventures","Surrey City Centre","40.0","995.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3951109269","Piano","2026-10-01","Surrey","Concord Pacific","Surrey City Centre","40.0","1014.0","Highrise (15+)","Concrete","Approved/Upcoming"
"5495991479","Janda Tower","2026-10-03","Surrey","Janda Group","Surrey City Centre","36.0","332.0","Highrise (15+)","Concrete","Approved/Upcoming"
"5182969691","Solstice","2026-10-03","Coquitlam","Ledingham McAllister","South Coquitlam","29.0","408.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3951017546","Kadence","2026-10-10","Coquitlam","Ledingham Mcallister","Coquitlam Centre","25.0","136.0","Highrise (15+)","Concrete","Approved/Upcoming"
"5765744410","SOCO Three","2026-10-18","Coquitlam","Anthem","South Coquitlam","38.0","348.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3952776869","Mayfair West (Phase 1)","2026-10-25","Vancouver West","Grosvenor & Transca","Oak Street Corridor","23.0","1149.0","Highrise (15+)","Concrete","Approved/Upcoming"
"34614203730","The New Village Ph.1 (Parcel B)","2026-11-01","Vancouver West","MST & Aquilini Group","Cambie Corridor","24.0","410.0","Highrise (15+)","Concrete","Approved/Upcoming"
"44997005677","325 E 6 Ave","2027-01-01","Vancouver East","Wall Financial","Mt Pleasant","20.0","109.0","Highrise (15+)","Concrete","In Planning"
"44996820615","3571 Sawmill Crescent, Vancouver","2027-01-01","Vancouver East","Wesgroup","","18.0","185.0","Highrise (15+)","Concrete","Approved/Upcoming"
"42150812270","Concord Metrotown (Phase 2)","2027-01-01","Burnaby South","Concord Pacific","Metrotown","60.0","1145.0","Highrise (15+)","Concrete","In Planning"
"42150750635","6958, 6984 Kingsway, Burnaby (Highgate Tower)","2027-01-01","Burnaby (Other)","OpenForm Properties","Edmonds","40.0","359.0","Highrise (15+)","Concrete","In Planning"
"42150750619","7465 Griffiths Dive (Edmonds Tower), Burnaby","2027-01-01","Burnaby (Other)","Squarenine Development","Edmonds","21.0","108.0","Highrise (15+)","Concrete","In Planning"
"42146029731","3846 Carrigan Court, Burnaby","2027-01-01","Burnaby (Other)","Pinnacle International","North Rd Corridor","33.0","354.0","Highrise (15+)","Concrete","In Planning"
"42150811695","City of Lougheed (Tower 6)","2027-01-01","Burnaby (Other)","Shape Properties","North Rd Corridor","46.0","809.0","Highrise (15+)","Concrete","In Planning"
"42150502446","Kwasen Village (Future Phases)","2027-01-01","Burnaby (Other)","Aquilini Development","BCIT","20.0","4069.0","Highrise (15+)","Concrete","In Planning"
"42145534821","2300 Madison Ave, Burnaby","2027-01-01","Burnaby North","polygon","Brentwood","42.0","1253.0","Highrise (15+)","Concrete","In Planning"
"42145596461","Gilmore Place (Tower 5)","2027-01-01","Burnaby North","Onni","Brentwood","50.0","532.0","Highrise (15+)","Concrete","In Planning"
"14925931572","6958-6984 Kingsway, Burnaby","2027-02-01","Burnaby South","OpenForm","Edmonds","40.0","359.0","Highrise (15+)","Concrete","Approved/Upcoming"
"24284861222","488 W 43rd Ave, Vancouver (""C43"")","2027-03-01","Vancouver West","Peterson","Cambie Corridor","29.0","176.0","Highrise (15+)","Concrete","Approved/Upcoming"
"22882481449","541 Clarke Rd, Vancouver","2027-03-01","Coquitlam"," -","West Coquitlam","17.0","154.0","Highrise (15+)","Concrete","In Planning"
"12281060509","19653-19665 Willowbrook Dr, Langley","2027-03-01","Langley"," -","Langley City","","2600.0","Highrise (15+)","Concrete","In Planning"
"3949891372","The Passages","2027-03-01","Surrey","Rize Alliance","Surrey City Centre","23.0","1126.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3950820874","Whitgift Gardens (Phase 1)","2027-03-01","Coquitlam","Concert Properties","West Coquitlam","30.0","275.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3951183964","837 Lougheed Hwy, Coquitlam (""Horizon21"")","2027-03-01","Coquitlam","Centred Development","Maillardville","21.0","151.0","Highrise (15+)","Concrete","In Planning"
"3950773886","Koi","2027-03-01","Burnaby South","Kingborn Properties","Metrotown","31.0","261.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3950960996","Centra","2027-03-01","Surrey","Everest Group","Surrey City Centre","24.0","167.0","Highrise (15+)","Concrete","Approved/Upcoming"
"34276282137","1145 Inlet St, Coquitlam (""Stratford Wynd"") - Highrise","2027-04-01","Coquitlam","Ledingham McAllister","Coquitlam Centre","29.0","337.0","Highrise (15+)","Concrete","Approved/Upcoming"
"31424253479","Seylynn Centre","2027-04-01","North Vancouver","Denna Homes","Lynnmour/Maplewood","34.0","338.0","Highrise (15+)","Concrete","Approved/Upcoming"
"13616592298","TriCity Central (Phase 1)","2027-04-01","Coquitlam","Marcon","Coquitlam Centre","","513.0","Highrise (15+)","Concrete","Approved/Upcoming"
"13230649724","One20","2027-04-01","North Vancouver","Three Shores","Lonsdale","21.0","164.0","Highrise (15+)","Concrete","Approved/Upcoming"
"12893544224","Concord Brentwood (Phase 3)","2027-04-01","Burnaby North","Concord Pacific Developments","Brentwood","","1750.0","Highrise (15+)","Concrete","Approved/Upcoming"
"12124213365","BridgeCity","2027-04-01","Surrey","Oviedo","Surrey Gateway","34.0","967.0","Highrise (15+)","Concrete","Approved/Upcoming"
"8799269949","Burnaby Lake ""Blake"" Village (Phase 1A)","2027-04-01","Burnaby North","Peterson Real Estate","Bainbridge","16.0","443.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3949930301","282 West 49th Ave, Vancouver  (YMCA)","2027-04-01","Vancouver West","Townline & YMCA & MCC","Cambie Corridor","37.0","269.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3951109277","13588 98 Ave, Surrey (""Avani Centre"")","2027-04-01","Surrey","Avani Investment Group","Surrey City Centre","34.0","297.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3950690997","Core","2027-04-01","Surrey","Westland","Surrey City Centre","50.0","429.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3951183974","Halifax & Willingdon","2027-04-01","Burnaby North","Bosa Development","Brentwood","60.0","472.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3951086890","Impressions","2027-04-01","Burnaby (Other)","Onni Group","North Rd Corridor","36.0","540.0","Highrise (15+)","Concrete","Approved/Upcoming"
"12406144104","1551 W 7th Ave, Vancouver","2027-04-03","Vancouver West","Canderel","Fairview","22.0","122.0","Highrise (15+)","Concrete","In Planning"
"22538455863","4900-4940 Kingsway, Burnaby (McCarthy Plaza)","2027-05-01","Burnaby South","WPJ McCarthy","Metrotown","72.0","169.0","Highrise (15+)","Concrete","In Planning"
"13616592451","Westbury","2027-05-01","Coquitlam","Ledingham Mcallister","Coquitlam Centre","25.0","205.0","Highrise (15+)","Concrete","Approved/Upcoming"
"12120365173","10054-10088 Whalley Blvd & 10073 137A Street, Surrey","2027-05-01","Surrey","Tangerine Developments","Surrey City Centre","38.0","443.0","Highrise (15+)","Concrete","In Planning"
"726092074","Bristol Estates","2027-05-01","Surrey","Bosa Properties","Surrey City Centre","53.0","2730.0","Highrise (15+)","Concrete","In Planning"
"42150749704","Gilmore Place (Tower 6)","2027-06-01","Burnaby North","Onni","Brentwood","45.0","480.0","Highrise (15+)","Concrete","In Planning"
"31023499347","Burquitlam Park District (Phase 2)","2027-06-01","Coquitlam","Intergulf","West Coquitlam","40.0","512.0","Highrise (15+)","Concrete","Approved/Upcoming"
"27591873413","13748 & 13774 104 Ave, Surrey","2027-06-01","Surrey","Echo Properties","Surrey City Centre","36.0","1141.0","Highrise (15+)","Concrete","Approved/Upcoming"
"23207311017","5502 Lougheed Hwy, Burnaby","2027-06-01","Burnaby North","Keltic","Brentwood","55.0","1190.0","Highrise (15+)","Concrete","In Planning"
"13963182423","6042 84 Ave & 8352-8390 160 St, Surrey","2027-06-01","Surrey","Platinum Group","Fleetwood","30.0","529.0","Highrise (15+)","Concrete","Approved/Upcoming"
"5526028838","605-615 Claremont St & 602-610 Tyndall St, Coquitlam","2027-06-01","Coquitlam","Qualico","West Coquitlam","28.0","339.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3950789774","District Northwest","2027-06-01","Surrey","Kingsett Capital","Surrey City Centre","45.0","1023.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3950820899","Willingdon Lands","2027-06-01","Burnaby North","Musqueam First Nations / Aquilini Group","BCIT","","2000.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3950937762","404-434 W 23rd Ave, Vancouver","2027-06-01","Vancouver West","Glenhouse Properties","Cambie Corridor","19.0","32.0","Highrise (15+)","Concrete","Approved/Upcoming"
"29030087511","Elysée","2027-07-01","Vancouver West","Polygon","Cambie Corridor","27.0","172.0","Highrise (15+)","Concrete","In Planning"
"19435032451","2120-2150 W 10th Ave, Vancouver","2027-07-01","Vancouver West","Bastion","Arbutus Corridor","20.0","86.0","Highrise (15+)","Concrete","In Planning"
"37140938862","7201 11th Ave, Burnaby (""Ovation"")","2027-08-01","Burnaby South","Ledingham McAllister","Edmonds","50.0","462.0","Highrise (15+)","Concrete","In Planning"
"36763367715","8427-8483 Cambie St, Vancouver","2027-08-01","Vancouver West","Forme Development","Marine Gateway","37.0","330.0","Highrise (15+)","Concrete","Approved/Upcoming"
"13641465865","Buchanen West (Future Phases)","2027-08-01","Burnaby North","First Capital Realty","Brentwood","50.0","2512.0","Highrise (15+)","Concrete","In Planning"
"11902238044","80-85 Electronic Ave, Port Moody","2027-09-01","Port Moody","Beedie","St. Johns","38.0","1020.0","Highrise (15+)","Concrete","In Planning"
"7759220751","Metro21","2027-09-01","Burnaby South","Shokai","Metrotown","22.0","132.0","Highrise (15+)","Concrete","Approved/Upcoming"
"5765744513","Georgetown Three","2027-09-01","Surrey","Anthem","Surrey City Centre","39.0","455.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3951133232","6366 Cassie Ave & 6433 McKay Ave, Burnaby","2027-09-01","Burnaby South","Belford Properties","Metrotown","31.0","274.0","Highrise (15+)","Concrete","Approved/Upcoming"
"46463825222","14010-14054 104 Ave, Surrey","2027-10-01","Surrey","Genaris Properties","Surrey City Centre","25.0","305.0","Highrise (15+)","Concrete","In Planning"
"42470903874","1795 W Broadway, Vancouver","2027-10-01","Vancouver West","Concord Pacific","Fairview","30.0","239.0","Highrise (15+)","Concrete","In Planning"
